32.80,57.06,1012.67
32.79,57.09,1012.68
32.79,57.11,1012.65
32.79,57.10,1012.72
32.79,57.11,1012.68
32.80,57.02,1012.69
32.79,57.18,1012.67
32.79,57.17,1012.67
32.79,57.05,1012.66
32.78,57.12,1012.67
32.78,57.16,1012.68
32.78,57.13,1012.69
32.80,57.05,1012.69
32.80,57.13,1012.67
32.80,57.13,1012.67
32.80,57.04,1012.69
32.80,56.98,1012.68
32.79,57.17,1012.68
32.80,57.29,1012.68
32.79,57.23,1012.67
32.77,57.06,1012.65
32.74,56.99,1012.66
32.72,56.89,1012.67
32.70,56.88,1012.65
32.70,56.92,1012.68
32.69,56.89,1012.67
32.68,56.94,1012.64
32.65,56.85,1012.66
32.65,56.91,1012.70
32.64,56.92,1012.69
32.63,56.99,1012.67
32.63,57.04,1012.67
32.63,57.09,1012.65
32.61,57.26,1012.67
32.62,57.30,1012.66
32.62,57.43,1012.63
32.59,57.44,1012.66
32.60,57.46,1012.66
32.62,57.46,1012.65
32.63,57.48,1012.63
32.63,57.64,1012.68
32.61,57.75,1012.67
32.62,57.88,1012.69
32.61,57.83,1012.65
32.62,57.73,1012.65
32.63,57.62,1012.65
32.62,57.60,1012.65
32.62,57.65,1012.64
32.63,57.79,1012.65
32.63,57.86,1012.64
32.64,57.94,1012.62
32.63,58.12,1012.67
32.62,58.06,1012.66
32.62,58.06,1012.63
32.62,58.07,1012.63
32.62,58.04,1012.65
32.60,58.17,1012.64
32.59,58.58,1012.61
32.56,58.85,1012.62
32.51,59.07,1012.61
32.48,59.34,1012.66
32.48,59.57,1012.65
32.47,59.74,1012.60
32.46,59.80,1012.63
32.45,59.92,1012.61
32.47,60.06,1012.63
32.47,59.73,1012.59
32.47,59.54,1012.64
32.49,59.45,1012.59
32.50,59.33,1012.60
32.52,59.25,1012.64
32.53,59.40,1012.64
32.53,59.79,1012.62
32.52,59.85,1012.61
32.51,59.54,1012.60
32.48,59.50,1012.58
32.44,59.49,1012.59
32.42,59.48,1012.61
32.42,59.80,1012.61
32.36,60.46,1012.61
32.37,60.63,1012.61
32.37,60.63,1012.62
32.36,60.26,1012.61
32.35,60.41,1012.58
32.36,60.41,1012.59
32.39,60.23,1012.62
32.41,60.04,1012.61
32.41,60.18,1012.60
32.39,60.51,1012.62
32.39,60.38,1012.59
32.39,60.30,1012.60
32.40,60.16,1012.61
32.43,60.09,1012.60
32.46,60.02,1012.59
32.49,59.89,1012.61
32.49,59.40,1012.61
32.52,59.12,1012.58
32.51,58.65,1012.60
32.49,58.58,1012.57
32.53,58.67,1012.60
32.56,58.68,1012.60
32.59,58.63,1012.61
32.62,58.46,1012.61
32.63,58.26,1012.56
32.66,58.11,1012.63
32.68,58.01,1012.59
32.69,57.90,1012.57
32.71,57.85,1012.59
32.73,57.78,1012.58
32.73,57.76,1012.55
32.73,57.86,1012.59
32.73,58.12,1012.59
32.75,58.37,1012.60
32.74,58.32,1012.59
32.72,58.46,1012.62
32.72,58.58,1012.62
32.74,58.61,1012.59
32.76,58.75,1012.59
32.74,58.84,1012.61
32.69,58.63,1012.59
32.61,58.88,1012.60
32.56,58.81,1012.60
32.59,58.90,1012.62
32.61,58.96,1012.60
32.62,59.00,1012.57
32.59,59.14,1012.60
32.56,59.01,1012.57
32.51,59.04,1012.57
32.54,58.99,1012.56
32.51,59.00,1012.55
32.51,59.17,1012.55
32.54,59.13,1012.55
32.55,59.15,1012.57
32.60,59.19,1012.57
32.57,59.41,1012.59
32.56,59.47,1012.56
32.59,59.46,1012.55
32.62,59.28,1012.59
32.63,59.03,1012.55
32.65,58.91,1012.53
32.67,58.76,1012.51
32.68,58.73,1012.52
32.70,58.64,1012.55
32.71,58.56,1012.54
32.71,58.44,1012.54
32.73,58.37,1012.56
32.73,58.37,1012.54
32.73,58.55,1012.55
32.72,58.66,1012.54
32.72,58.31,1012.55
32.73,58.06,1012.53
32.72,57.97,1012.55
32.73,57.92,1012.53
32.72,57.92,1012.53
32.74,58.11,1012.52
32.72,58.38,1012.53
32.73,58.90,1012.52
32.73,58.93,1012.49
32.75,58.91,1012.52
32.76,58.88,1012.53
32.74,58.81,1012.53
32.75,58.74,1012.49
32.75,58.60,1012.54
32.75,58.52,1012.51
32.76,58.45,1012.53
32.77,58.36,1012.50
32.78,58.30,1012.52
32.80,58.21,1012.54
32.79,58.09,1012.52
32.79,58.10,1012.55
32.79,58.15,1012.54
32.78,58.16,1012.54
32.80,58.09,1012.55
32.83,58.04,1012.52
32.84,57.98,1012.53
32.85,57.97,1012.55
32.86,57.93,1012.53
32.84,57.89,1012.55
32.83,57.95,1012.55
32.82,58.07,1012.55
32.83,58.16,1012.57
32.83,58.21,1012.55
32.84,58.30,1012.56
32.86,58.78,1012.55
32.85,58.96,1012.56
32.84,59.04,1012.55
32.84,58.88,1012.54
